01469 + TOWNSEND,"$              292,974"
01473 + WESTMINSTER,"$              518,741"
01474 + TOWNSEND,"$              358,821"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
01477 + WINCHENDON,"$              104,468"
01501 + AUBURN,"$           2,663,462"
01501 + WORCESTER,"$                 15,196"
01503 + BERLIN,"$              128,454"
01504 + BLACKSTONE,"$              680,283"
01505 + BOYLSTON,"$              399,825"
01506 + BROOKFIELD,"$              498,039"
01507 + CHARLTON,"$              270,256"
01508 + CHARLTON,"$                 18,765"
01508 + CHARLTON CITY,"$              138,691"
01510 + CLINTON,"$           3,769,296"
01515 + E BROOKFIELD,"$              172,135"
01516 + DOUGLAS,"$              395,438"
01518 + FISKDALE,"$                 21,174"
01519 + GRAFTON,"$              410,347"
01520 + HOLDEN,"$           1,209,670"
01521 + HOLLAND,"$              132,342"
01522 + JEFFERSON,"$                 46,074"
01523 + LANCASTER,"$                 14,453"
01524 + LEICESTER,"$           1,508,428"
01525 + LINWOOD,"$                 60,505"
01526 + MANCHAUG,"$              209,016"
01527 + MILLBURY,"$           3,145,394"
01529 + MILLVILLE,"$              329,703"
01532 + NORTHBORO,"$           1,507,799"
01534 + NORTHBRIDGE,"$              373,357"
01535 + N BROOKFIELD,"$              367,163"
01536 + GRAFTON,"$              448,405"
01536 + N GRAFTON,"$              993,335"
01537 + N OXFORD,"$           1,173,518"
01537 + OXFORD,"$              636,693"
01538 + N UXBRIDGE,"$              198,051"
01540 + OXFORD,"$           2,633,367"
01541 + PRINCETON,"$                 13,958"
01542 + LEICESTER,"$                 47,549"
01542 + ROCHDALE,"$              181,957"
01543 + RUTLAND,"$              597,847"
01545 + SHREWSBURY,"$           3,159,921"
01550 + SOUTHBRIDGE,"$           2,195,139"
01560 + GRAFTON,"$                   6,046"
01560 + S GRAFTON,"$              190,738"
01561 + LANCASTER,"$                 13,917"
01562 + SPENCER,"$           1,261,850"
01564 + STERLING,"$           1,380,064"
01566 + STURBRIDGE,"$              624,538"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
01569 + UXBRIDGE,"$           1,669,426"
01570 + DUDLEY,"$                 20,310"
01570 + WEBSTER,"$           5,747,434"
01571 + DUDLEY,"$           2,875,629"
01581 + WESTBORO,"$           2,322,809"
01583 + W BOYLSTON,"$           3,813,590"
01585 + W BROOKFIELD,"$              574,546"
01588 + LINWOOD,"$              264,302"
01588 + NORTHBRIDGE,"$                 52,576"
01588 + WHITINSVILLE,"$              897,268"
01590 + SUTTON,"$              803,476"
01602 + WORCESTER,"$           1,592,787"
01603 + WORCESTER,"$           4,016,398"
01604 + WORCESTER,"$           7,692,724"
01605 + WORCESTER,"$           2,350,483"
01606 + WORCESTER,"$           2,913,392"
01607 + WORCESTER,"$           1,462,425"
01608 + WORCESTER,"$              582,352"
01609 + WORCESTER,"$              389,052"
01610 + WORCESTER,"$           3,845,573"
01611 + CHERRY VALLEY,"$              580,042"
01612 + PAXTON,"$              100,181"
01613 + WORCESTER,$                        90
01701 + FRAMINGHAM,"$           4,266,179"
01702 + FRAMINGHAM,"$           3,838,892"
01719 + BOXBORO,"$                 15,065"
01720 + ACTON,"$              815,174"
01721 + ASHLAND,"$           4,024,874"
01730 + BEDFORD,"$              919,291"
01740 + BOLTON,"$              212,119"
01742 + CONCORD,"$              334,511"
01745 + SOUTHBORO,"$              292,694"
01746 + HOLLISTON,"$              390,829"
01747 + HOPEDALE,"$              257,168"
01748 + HOPKINTON,"$              661,494"
01749 + HUDSON,"$           1,485,817"
01752 + MARLBORO,"$           6,181,311"
01754 + MAYNARD,"$           1,325,202"
01756 + MENDON,"$              472,552"
01757 + MENDON,"$                 18,711"
01757 + MILFORD,"$           5,570,287"
01760 + NATICK,"$           2,132,987"
01770 + SHERBORN,"$                   4,386"
01772 + SOUTHBORO,"$              202,692"
01773 + LINCOLN,$                            -
Mass. Lottery KENO Sales by ZIP - 2013,Sales
01776 + SUDBURY,"$              333,839"
01778 + WAYLAND,"$           2,230,902"
01801 + WOBURN,"$           6,013,590"
01803 + BURLINGTON,"$           2,338,336"
01810 + ANDOVER,"$           2,833,653"
01821 + BILLERICA,"$           4,164,737"
01824 + CHELMSFORD,"$           2,876,632"
01826 + DRACUT,"$           9,212,139"
01827 + DUNSTABLE,"$                 19,344"
01830 + BRADFORD,"$              192,527"
01830 + HAVERHILL,"$           6,594,926"
01831 + HAVERHILL,$                            -
01832 + HAVERHILL,"$           2,380,772"
01833 + GEORGETOWN,"$              496,341"
01834 + GROVELAND,"$              726,434"
01835 + BRADFORD,"$              866,745"
01835 + HAVERHILL,"$              491,990"
01840 + LAWRENCE,"$              462,102"
01841 + LAWRENCE,"$              763,203"
01843 + LAWRENCE,"$           2,495,957"
01844 + METHUEN,"$         13,269,479"
01845 + N ANDOVER,"$           2,842,155"
01850 + LOWELL,"$           1,111,707"
01851 + LOWELL,"$           1,885,485"
01852 + LOWELL,"$           4,067,499"
01854 + LOWELL,"$           2,783,390"
01860 + MERRIMAC,"$              773,961"
01862 + BILLERICA,"$           3,570,431"
01862 + N BILLERICA,"$           1,051,243"
01863 + CHELMSFORD,"$              334,105"
01863 + N CHELMSFORD,"$           1,785,879"
01864 + N READING,"$           5,544,211"
01865 + BILLERICA,"$              238,789"
01867 + READING,"$              409,947"
01876 + TEWKSBURY,"$           5,471,672"
01879 + TYNGSBORO,"$           4,591,413"
01880 + WAKEFIELD,"$           3,562,489"
01886 + WESTFORD,"$           1,705,713"
01887 + WILMINGTON,"$           1,817,307"
01890 + WINCHESTER,"$              817,275"
01901 + LYNN,"$           1,772,524"
01902 + LYNN,"$           5,813,421"
01904 + LYNN,"$           4,486,202"
01905 + LYNN,"$           5,130,474"
01906 + SAUGUS,"$           6,275,776"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
01908 + NAHANT,"$           1,293,410"
01913 + AMESBURY,"$              918,050"
01915 + BEVERLY,"$           5,525,868"
01922 + BYFIELD,"$              247,515"
01923 + DANVERS,"$           5,017,236"
01929 + ESSEX,"$              498,234"
01930 + GLOUCESTER,"$           4,440,260"
01930 + MAGNOLIA,"$              706,654"
01938 + IPSWICH,"$           1,891,492"
01940 + LYNNFIELD,"$              848,364"
01944 + MANCHESTER,"$                 92,570"
01945 + MARBLEHEAD,"$              289,360"
01949 + MIDDLETON,"$           2,837,915"
01950 + NEWBURYPORT,"$           1,210,182"
01951 + NEWBURY,"$                 12,488"
01952 + SALISBURY,"$         10,506,722"
01960 + PEABODY,"$         12,625,693"
01960 + W PEABODY,$                            -
01961 + PEABODY,"$                 44,478"
01966 + ROCKPORT,$                            -
01969 + ROWLEY,"$              523,102"
01970 + SALEM,"$           6,151,517"
01982 + HAMILTON,"$                 82,144"
01983 + TOPSFIELD,"$                 36,092"
01984 + WENHAM,"$                 96,666"
01985 + W NEWBURY,"$                   5,689"
02019 + BELLINGHAM,"$           1,559,249"
02020 + BRANT ROCK,"$              284,440"
02020 + MARSHFIELD,"$              787,261"
02021 + CANTON,"$           2,884,000"
02025 + COHASSET,"$              243,488"
02026 + DEDHAM,"$           5,302,289"
02030 + DOVER,"$                 66,573"
02032 + WALPOLE,"$                 74,655"
02035 + FOXBORO,"$           2,670,112"
02038 + FRANKLIN,"$           3,030,554"
02041 + GREEN HARBOR,"$                 37,158"
02043 + HINGHAM,"$           2,018,332"
02045 + HULL,"$           1,323,496"
02048 + MANSFIELD,"$           2,071,975"
02050 + MARSHFIELD,"$           4,397,850"
02051 + MARSHFIELD,$                      247
02052 + MEDFIELD,"$              719,505"
02053 + MEDWAY,"$           1,615,175"
02054 + MILLIS,"$           1,248,314"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
02061 + NORWELL,"$              252,232"
02062 + NORWOOD,"$           7,114,477"
02066 + SCITUATE,"$           1,228,916"
02067 + SHARON,"$                 42,198"
02070 + SHELDONVILLE,"$                 11,775"
02072 + STOUGHTON,"$           4,601,455"
02081 + WALPOLE,"$           1,661,707"
02090 + WESTWOOD,"$              153,513"
02093 + WRENTHAM,"$              424,154"
02108 + BOSTON,"$           1,545,027"
02109 + BOSTON,"$              458,302"
02110 + BOSTON,"$              682,126"
02111 + BOSTON,"$           1,708,081"
02113 + BOSTON,"$              464,390"
02114 + BOSTON,"$              365,516"
02115 + BOSTON,"$              275,401"
02116 + BOSTON,"$           2,013,521"
02118 + BOSTON,"$              785,191"
02118 + ROXBURY,"$                   3,554"
02119 + BOSTON,$                            -
02119 + ROXBURY,"$              551,271"
02120 + BOSTON,"$              642,467"
02120 + ROXBURY,"$              371,681"
02121 + DORCHESTER,"$              188,286"
02121 + ROXBURY,"$                 17,827"
02122 + DORCHESTER,"$           7,797,925"
02124 + DORCHESTER,"$           2,755,274"
02125 + BOSTON,"$              202,008"
02125 + DORCHESTER,"$           3,417,858"
02126 + DORCHESTER,"$                   4,830"
02126 + MATTAPAN,"$           2,744,848"
02127 + BOSTON,$                            -
02127 + S BOSTON,"$           9,253,561"
02128 + E BOSTON,"$           6,808,975"
02129 + CHARLESTOWN,"$           1,130,167"
02130 + JAMAICA PLAIN,"$           3,204,658"
02131 + ROSLINDALE,"$           5,049,913"
02132 + W ROXBURY,"$           3,738,094"
02134 + ALLSTON,"$           1,173,728"
02135 + BRIGHTON,"$           3,269,403"
